F1,F2,F3,F4,F5,F6,F7,F8,label
1.69E-08,1,1.384422757,-1.24E-10,1.52E-10,7.83E-11,4.51E-10,3.88E-10,T
2.01E-08,1,1.646561977,-1.50E-10,1.52E-10,5.17E-11,4.78E-10,3.62E-10,T
2.31E-08,1,1.892317496,-1.75E-10,1.52E-10,2.67E-11,5.03E-10,3.37E-10,T
1.93E-08,1,1.581027172,-1.44E-10,1.52E-10,5.83E-11,4.71E-10,3.68E-10,T
1.97E-08,1,1.613794575,-1.47E-10,1.52E-10,5.50E-11,4.74E-10,3.65E-10,T
1.03E-08,1,0.843760615,-6.87E-11,1.52E-10,1.33E-10,3.96E-10,4.43E-10,T
2.63E-08,1,2.154456717,-2.02E-10,1.52E-10,0,5.29E-10,3.10E-10,T
1.69E-08,1,1.384422757,-1.24E-10,1.52E-10,7.83E-11,4.51E-10,3.88E-10,T
2.31E-08,1,1.892317496,-1.75E-10,1.52E-10,2.67E-11,5.03E-10,3.37E-10,T
1.94E-08,1,1.589219023,-1.45E-10,1.52E-10,5.75E-11,4.72E-10,3.68E-10,T
1.92E-08,1,1.572835322,-1.43E-10,1.52E-10,5.92E-11,4.70E-10,3.69E-10,T
1.59E-08,1,1.302504251,-1.15E-10,1.52E-10,8.67E-11,4.43E-10,3.97E-10,T
1.58E-08,1,1.2943124,-1.15E-10,1.52E-10,8.75E-11,4.42E-10,3.98E-10,T
9.25E-09,1,0.757746184,-6.00E-11,1.52E-10,1.42E-10,3.87E-10,4.52E-10,T
1.28E-08,1,1.048556881,-8.95E-11,1.52E-10,1.13E-10,4.17E-10,4.23E-10,T
1.29E-08,1,1.056748732,-9.04E-11,1.52E-10,1.12E-10,4.18E-10,4.22E-10,T
1.59E-08,1,1.302504251,-1.15E-10,1.52E-10,8.67E-11,4.43E-10,3.97E-10,T
1.28E-08,1,1.048556881,-8.95E-11,1.52E-10,1.13E-10,4.17E-10,4.23E-10,T
1.54E-08,1,1.261544998,-1.11E-10,1.52E-10,9.08E-11,4.38E-10,4.01E-10,T
2.70E-09,1,0.221179967,-5.38E-12,1.52E-10,1.97E-10,3.33E-10,5.07E-10,T
8.54E-09,1,0.699584044,-5.40E-11,1.52E-10,1.48E-10,3.81E-10,4.58E-10,T
1.44E-08,1,1.179626491,-1.03E-10,1.52E-10,9.92E-11,4.30E-10,4.09E-10,T
8.02E-09,1,0.656986421,-4.97E-11,1.52E-10,1.52E-10,3.77E-10,4.62E-10,T
1.17E-08,1,0.958446524,-8.04E-11,1.52E-10,1.22E-10,4.08E-10,4.32E-10,T
